id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-439346,2023-01-19,000001,Vente,143000,200,,RUE MICHEL ANGE,3743,34070,34172,Montpellier,34,,,34172000KT0004,,,190,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.844996,43.615645
2023-439347,2023-02-06,000001,Vente,196500,81,,RUE MARIUS CARRIEU,3506,34080,34172,Montpellier,34,,,34172000KT0001,,,1014,,1020,74.3,,,,,,,2,2,Appartement,78,4,,,,,,3.843208,43.616384
2023-439347,2023-02-06,000001,Vente,196500,81,,RUE MARIUS CARRIEU,3506,34080,34172,Montpellier,34,,,34172000KT0001,,,1014,,1020,74.3,,,,,,,2,3,Dépendance,,0,,,,,,3.843208,43.616384
2023-439347,2023-02-06,000001,Vente,196500,81,,RUE MARIUS CARRIEU,3506,34080,34172,Montpellier,34,,,34172000KT0001,,,1014,,1020,74.3,,,,,,,2,3,Dépendance,,0,,,,,,3.843208,43.616384
2023-439348,2023-01-18,000001,Vente,135550,1891,,RTE DE GANGES,2465,34090,34172,Montpellier,34,,,34172000TD0006,,,395,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.84402,43.641391
2023-439348,2023-01-18,000001,Vente,135550,71,,RUE CHICO MENDES,1308,34090,34172,Montpellier,34,,,34172000TD0006,,,157,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.84402,43.641391
2023-439348,2023-01-18,000001,Vente,135550,29,,RUE VITAL MICHALON,5841,34090,34172,Montpellier,34,,,34172000TD0006,,,283,,,,,,,,,,1,2,Appartement,51,2,,,,,,3.84402,43.641391
2023-439349,2023-01-23,000001,Vente en l'état futur d'achèvement,150021,690,,RUE ALFRED NOBEL,0193,34000,34172,Montpellier,34,,,34172000RX0369,,,49,,,,,,,,,,1,,,,,,,,,,3.912008,43.610265
2023-439350,2023-01-25,000001,Vente,98400,418,,RUE DU MAS DE VERCHANT,3610,34000,34172,Montpellier,34,,,34172000RR0071,,,3003,,3104,35.88,,,,,,,2,4,Local industriel. commercial ou assimilé,36,0,,,,,,,
2023-439354,2023-01-27,000001,Vente,195000,372,,RTE DE MENDE,3700,34090,34172,Montpellier,34,,,34172000BP0322,,,20,,54,,,,,,,,2,2,Appartement,62,3,,,,,,3.870983,43.625988
2023-439354,2023-01-27,000001,Vente,195000,372,,RTE DE MENDE,3700,34090,34172,Montpellier,34,,,34172000BP0322,,,20,,54,,,,,,,,2,3,Dépendance,,0,,,,,,3.870983,43.625988
